id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
389,Matheus N.,Matheus,Nunes,Man City,43,2,DEF,59,11,213,0,0,1,3,0,0,0,0,0,0,1,38,35.0,3.0,4.0,4.2,2,0.00,0.06,0.06,4.67,2.2,3.7,1.0,a,3,10,18,21
390,Rúben,Rúben,dos Santos Gato Alves Dias,Man City,43,2,DEF,55,17,450,0,0,2,5,0,0,0,0,0,0,0,72,89.4,47.0,39.0,17.5,5,0.29,0.74,1.03,7.25,3.4,3.4,1.9,a,1,16,25,26
391,Gvardiol,Joško,Gvardiol,Man City,43,2,DEF,57,37,434,1,3,2,5,0,0,0,1,0,0,6,135,110.4,52.1,30.0,19.3,5,0.22,0.74,0.96,7.25,7.4,7.4,26.3,a,11,21,20,31
392,Aït-Nouri,Rayan,Aït-Nouri,Man City,43,2,DEF,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.4,a,0,0,0,0
393,Khusanov,Abdukodir,Khusanov,Man City,43,2,DEF,54,9,268,0,0,1,2,0,0,0,1,0,0,0,53,51.6,12.6,4.0,6.8,3,0.00,0.06,0.06,2.68,1.8,3.0,1.4,a,8,13,9,17
394,Alleyne,Max,Alleyne,Man City,43,2,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
395,Lewis,Rico,Lewis,Man City,43,2,DEF,44,1,56,0,0,0,1,0,0,0,0,0,0,0,-1,3.8,3.8,39.0,4.7,1,0.17,0.02,0.19,0.55,0.2,1.0,0.2,a,0,0,2,2
396,Vitor Reis,Vitor,de Oliveira Nunes dos Reis,Man City,43,2,DEF,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.9,0.0,0.2,0,0.00,0.00,0.00,0.00,0.2,1.0,0.0,a,0,0,0,0
397,Semenyo,Antoine,Semenyo,Man City,43,3,MID,84,33,450,2,3,2,5,0,0,0,0,0,0,2,147,59.8,113.9,88.0,26.2,5,0.33,1.16,1.49,7.25,6.6,6.6,15.0,a,6,14,2,22
398,Foden,Phil,Foden,Man City,43,3,MID,69,9,217,0,2,0,2,0,0,0,1,1,0,1,52,57.6,122.3,45.0,22.3,3,1.61,0.88,2.49,1.91,1.8,2.2,1.9,s,4,8,2,14
399,Cherki,Rayan,Cherki,Man City,43,3,MID,78,34,302,3,2,1,4,0,0,0,1,0,0,5,150,123.0,155.4,81.0,36.0,4,0.72,1.54,2.26,5.00,6.8,6.8,28.0,a,0,9,3,12
400,Doku,Jérémy,Doku,Man City,43,3,MID,74,1,15,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0,0.23,0.32,0.55,0.42,0.2,1.0,0.7,a,0,1,1,2
402,Rodrigo,Rodrigo 'Rodri',Hernandez Cascante,Man City,43,3,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
404,Reijnders,Tijjani,Reijnders,Man City,43,3,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
406,Kovačić,Mateo,Kovačić,Man City,43,3,MID,54,2,42,0,0,0,0,0,0,0,0,0,0,0,12,4.2,5.2,0.0,0.9,0,0.00,0.02,0.02,0.10,0.4,1.0,0.1,a,0,2,0,2
407,Echeverri,Claudio,Echeverri,Man City,43,3,MID,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
408,Phillips,Kalvin,Phillips,Man City,43,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
409,Mukasa,Divine,Mukasa,Man City,43,3,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
