id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
93,Schuster,Jannik,Schuster,Brentford,94,2,DEF,45,4,73,0,0,0,1,0,0,0,0,0,0,0,11,17.2,0.2,4.0,2.1,0,0.10,0.01,0.11,1.61,1.3,4.0,0.1,a,0,0,10,10
94,Schade,Kevin,Schade,Brentford,94,3,MID,60,15,267,1,0,1,2,0,0,0,0,0,0,3,62,64.0,36.2,101.0,20.1,3,0.77,0.20,0.97,3.74,5.0,5.0,4.0,a,5,14,4,23
95,O.Dango,Dango,Ouattara,Brentford,94,3,MID,64,5,140,0,0,1,1,0,0,0,0,0,0,0,28,23.2,57.6,17.0,9.8,2,0.07,0.38,0.45,2.18,1.7,1.7,0.7,a,2,14,8,24
96,Damsgaard,Mikkel,Damsgaard,Brentford,94,3,MID,55,12,167,0,1,1,1,0,0,0,0,0,0,3,56,34.2,87.2,31.0,15.3,2,0.03,0.45,0.48,1.86,4.0,4.0,0.5,a,3,11,3,17
97,Jensen,Mathias,Jensen,Brentford,94,3,MID,55,6,66,0,1,1,0,0,0,0,0,0,0,0,22,12.6,46.2,13.0,7.2,1,0.08,0.34,0.42,0.47,2.0,6.0,0.1,i,2,3,0,5
98,Janelt,Vitaly,Janelt,Brentford,94,3,MID,50,21,270,2,0,1,2,0,0,0,3,0,0,3,76,117.6,77.3,45.0,24.0,3,0.50,0.32,0.82,3.74,7.0,7.0,1.4,a,11,10,14,35
99,Milambo,Antoni,Milambo,Brentford,94,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
100,Carvalho,Fábio,Freitas Gouveia Carvalho,Brentford,94,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
102,Yarmoliuk,Yehor,Yarmoliuk,Brentford,94,3,MID,49,2,89,0,0,0,2,0,0,0,1,0,0,0,12,7.6,16.7,9.0,3.4,0,0.07,0.03,0.10,2.78,0.7,0.7,0.8,a,3,6,2,11
103,Dasilva,Josh,Dasilva,Brentford,94,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
105,Anthony,Jaidon,Anthony,Brentford,94,3,MID,60,4,128,0,0,1,1,0,0,0,1,0,0,0,16,13.8,63.0,19.0,9.5,1,0.19,0.42,0.61,1.55,1.3,1.3,0.1,a,2,11,0,13
106,Thiago,Igor Thiago,Nascimento Rodrigues,Brentford,94,4,FWD,79,4,262,0,0,1,2,0,0,1,0,0,0,0,8,20.6,11.6,106.0,13.8,3,2.30,0.10,2.40,3.67,1.3,1.3,12.2,a,2,9,4,15
107,Furo,Kaye,Furo,Brentford,94,4,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,1.1,a,0,0,0,0
108,Wilson,Callum,Wilson,Brentford,94,4,FWD,55,3,13,0,0,0,0,0,0,0,0,0,0,0,9,3.2,10.4,12.0,2.6,0,0.07,0.04,0.11,0.15,1.0,1.0,0.4,a,0,1,1,2
565,M.Sangaré,Mamadou,Sangaré,Brentford,94,3,MID,57,18,210,0,2,1,1,0,0,0,1,0,0,3,57,56.0,48.4,40.0,14.1,3,0.41,0.37,0.78,2.28,6.0,6.0,14.3,a,7,15,10,32
